Merchant Store ID,Month,Week,Date,Day,Day part,Sales,Payouts,Mkt Spend,Customer Discounts,Orders,GC $0-15,GC $15-20,GC $20-25,GC $25-30,GC $30-$35,GC $35-$40,GC $40+,Count of Orders Mktg Driven,Profitability_%,AOV,Total Orders,Orders Inf by Promo,Orders inf by Ads,Orders inf by both,Organic Orders
3206,2026-05,5/18-5/24,2026-05-18,Monday,Early morning,0.0,-4.5,0.0,0.0,1,2,0,0,0,0,0,0,0,0.0,0.0,1,0,0,0,1
3206,2026-05,5/18-5/24,2026-05-18,Monday,Breakfast,116.0,94.9,-1.0,-4.7,7,3,3,0,0,1,0,0,1,81.7,16.6,7,0,0,1,6
3206,2026-05,5/18-5/24,2026-05-18,Monday,Lunch,54.8,47.5,0.0,0.0,4,2,1,1,0,0,0,0,0,86.6,13.7,4,0,0,0,4
3206,2026-05,5/18-5/24,2026-05-18,Monday,Afternoon,59.7,46.1,-1.0,-5.2,4,2,1,0,0,1,0,0,1,77.2,14.9,4,0,0,1,3
3206,2026-05,5/18-5/24,2026-05-18,Monday,Dinner,166.1,131.1,-1.0,-13.4,9,4,2,1,1,0,1,0,3,78.9,18.5,9,2,0,1,6
3206,2026-05,5/18-5/24,2026-05-18,Monday,Late night,260.4,173.6,-4.0,-29.4,10,4,1,1,1,0,2,2,5,66.7,26.0,10,1,0,4,5
3206,2026-05,5/18-5/24,2026-05-19,Tuesday,Breakfast,161.7,122.0,-1.0,-7.9,10,8,0,2,1,0,0,0,2,75.4,16.2,10,1,0,1,8
3206,2026-05,5/18-5/24,2026-05-19,Tuesday,Lunch,154.0,121.3,-1.0,-8.7,8,3,2,2,1,1,0,0,2,78.8,19.2,8,1,0,1,6
3206,2026-05,5/18-5/24,2026-05-19,Tuesday,Afternoon,71.5,54.3,-1.0,-7.7,2,0,1,0,0,0,0,1,1,75.9,35.8,2,0,0,1,1
3206,2026-05,5/18-5/24,2026-05-19,Tuesday,Dinner,205.3,152.4,-4.0,-19.6,8,1,2,2,1,1,2,0,4,74.2,25.7,8,0,0,4,4
3206,2026-05,5/18-5/24,2026-05-19,Tuesday,Late night,69.4,59.6,0.0,0.0,4,2,1,0,1,0,0,0,0,85.9,17.3,4,0,0,0,4
3206,2026-05,5/18-5/24,2026-05-20,Wednesday,Breakfast,408.2,308.9,-5.0,-40.4,21,9,4,4,2,2,1,0,9,75.7,19.4,21,4,0,5,12
3206,2026-05,5/18-5/24,2026-05-20,Wednesday,Lunch,114.4,91.8,-1.0,-8.5,5,2,1,0,1,2,0,0,2,80.2,22.9,5,1,0,1,3
3206,2026-05,5/18-5/24,2026-05-20,Wednesday,Afternoon,66.8,47.1,-2.0,-7.5,4,4,0,0,1,0,0,0,2,70.5,16.7,4,0,0,2,2
3206,2026-05,5/18-5/24,2026-05-20,Wednesday,Dinner,227.6,168.2,-2.0,-22.9,11,6,0,2,1,1,2,0,4,73.9,20.7,11,2,0,2,7
3206,2026-05,5/18-5/24,2026-05-20,Wednesday,Late night,230.4,212.8,-3.0,-21.9,13,7,3,1,0,3,0,0,5,92.4,17.7,13,2,0,3,8
3206,2026-05,5/18-5/24,2026-05-21,Thursday,Early morning,0.0,-1.6,0.0,0.0,1,1,0,0,0,0,0,0,0,0.0,0.0,1,0,0,0,1
3206,2026-05,5/18-5/24,2026-05-21,Thursday,Breakfast,305.2,215.7,-4.9,-23.1,17,11,3,1,2,1,1,0,5,70.7,18.0,17,0,0,5,12
3206,2026-05,5/18-5/24,2026-05-21,Thursday,Lunch,275.9,210.9,-4.0,-27.6,12,5,1,1,0,2,2,1,5,76.4,23.0,12,1,0,4,7
3206,2026-05,5/18-5/24,2026-05-21,Thursday,Afternoon,66.8,53.9,0.0,-4.0,2,0,0,1,0,0,0,1,1,80.8,33.4,2,1,0,0,1
3206,2026-05,5/18-5/24,2026-05-21,Thursday,Dinner,347.4,263.9,-4.0,-36.7,13,2,2,3,2,2,0,2,7,75.9,26.7,13,3,0,4,6
3206,2026-05,5/18-5/24,2026-05-21,Thursday,Late night,120.2,103.6,0.0,0.0,6,1,1,3,1,0,0,0,0,86.2,20.0,6,0,0,0,6
3206,2026-05,5/18-5/24,2026-05-22,Friday,Early morning,29.0,56.7,0.0,-4.0,7,6,0,1,0,0,0,0,1,195.3,4.1,7,1,0,0,6
3206,2026-05,5/18-5/24,2026-05-22,Friday,Breakfast,473.0,350.2,-7.9,-51.1,26,11,5,5,6,1,0,0,11,74.0,18.2,26,3,0,8,15
3206,2026-05,5/18-5/24,2026-05-22,Friday,Lunch,203.0,159.7,-2.0,-8.5,13,9,3,0,1,1,0,0,2,78.7,15.6,13,0,0,2,11
3206,2026-05,5/18-5/24,2026-05-22,Friday,Afternoon,106.5,81.5,-2.0,-9.3,4,0,1,0,1,2,0,0,2,76.6,26.6,4,0,0,2,2
3206,2026-05,5/18-5/24,2026-05-22,Friday,Dinner,220.9,169.4,-3.0,-21.2,10,4,2,1,0,0,3,0,4,76.7,22.1,10,1,0,3,6
3206,2026-05,5/18-5/24,2026-05-22,Friday,Late night,275.4,217.7,-4.0,-24.0,15,4,6,2,2,1,0,0,4,79.1,18.4,15,0,0,4,11
3206,2026-05,5/18-5/24,2026-05-23,Saturday,Early morning,40.1,34.7,0.0,0.0,3,2,1,0,0,0,0,0,0,86.4,13.4,3,0,0,0,3
3206,2026-05,5/18-5/24,2026-05-23,Saturday,Breakfast,475.5,352.9,-4.0,-50.2,22,8,5,4,1,3,0,2,9,74.2,21.6,22,5,0,4,13
3206,2026-05,5/18-5/24,2026-05-23,Saturday,Lunch,131.2,98.9,0.0,-12.0,8,6,0,2,1,0,0,0,3,75.4,16.4,8,3,0,0,5
3206,2026-05,5/18-5/24,2026-05-23,Saturday,Afternoon,136.7,93.0,-2.0,-15.0,7,3,1,0,2,0,0,1,3,68.0,19.5,7,1,0,2,4
3206,2026-05,5/18-5/24,2026-05-23,Saturday,Dinner,218.4,183.8,0.0,-6.0,14,5,5,2,2,0,0,0,1,84.2,15.6,14,1,0,0,13
3206,2026-05,5/18-5/24,2026-05-23,Saturday,Late night,187.2,127.1,-5.0,-28.6,11,4,3,3,1,0,0,0,7,67.9,17.0,11,2,0,5,4
3206,2026-05,5/18-5/24,2026-05-24,Sunday,Early morning,43.3,33.4,-1.0,-6.5,3,2,1,0,0,0,0,0,1,77.2,14.4,3,0,0,1,2
3206,2026-05,5/18-5/24,2026-05-24,Sunday,Breakfast,205.4,169.6,-1.0,-19.9,11,3,4,1,2,1,0,0,3,82.6,18.7,11,2,0,1,8
