Merchant Store ID,Month,Week,Date,Day,Day part,Sales,Payouts,Mkt Spend,Customer Discounts,Orders,GC $0-15,GC $15-20,GC $20-25,GC $25-30,GC $30-$35,GC $35-$40,GC $40+,Count of Orders Mktg Driven,Profitability_%,AOV,Total Orders,Orders Inf by Promo,Orders inf by Ads,Orders inf by both,Organic Orders
15272,2026-05,5/18-5/24,2026-05-18,Monday,Breakfast,173.5,147.9,-7.0,-12.0,7,2,1,1,1,1,0,1,3,85.3,24.8,7,0,1,2,4
15272,2026-05,5/18-5/24,2026-05-18,Monday,Lunch,67.6,63.5,0.0,0.0,3,2,1,0,0,0,1,0,0,93.9,22.5,3,0,0,0,3
15272,2026-05,5/18-5/24,2026-05-18,Monday,Afternoon,30.2,45.0,0.0,0.0,3,2,1,0,0,0,0,0,0,149.3,10.1,3,0,0,0,3
15272,2026-05,5/18-5/24,2026-05-18,Monday,Dinner,190.4,163.8,-6.0,-15.0,6,0,1,2,1,0,0,2,4,86.0,31.7,6,2,1,1,2
15272,2026-05,5/18-5/24,2026-05-18,Monday,Late night,129.4,117.2,-3.0,-5.0,6,1,1,3,1,0,0,0,1,90.5,21.6,6,0,0,1,5
15272,2026-05,5/18-5/24,2026-05-19,Tuesday,Breakfast,98.7,80.2,0.0,-14.0,4,0,1,0,3,0,0,0,2,81.2,24.7,4,2,0,0,2
15272,2026-05,5/18-5/24,2026-05-19,Tuesday,Lunch,26.6,25.2,0.0,0.0,1,0,0,0,1,0,0,0,0,94.7,26.6,1,0,0,0,1
15272,2026-05,5/18-5/24,2026-05-19,Tuesday,Afternoon,12.4,12.0,0.0,0.0,1,1,0,0,0,0,0,0,0,97.1,12.4,1,0,0,0,1
15272,2026-05,5/18-5/24,2026-05-19,Tuesday,Dinner,107.1,90.5,-3.0,-10.0,6,3,0,1,2,0,0,0,3,84.5,17.8,6,2,1,0,3
15272,2026-05,5/18-5/24,2026-05-19,Tuesday,Late night,150.4,143.5,-3.0,-10.0,9,5,1,2,0,0,0,1,3,95.4,16.7,9,2,1,0,6
