Operator,Merchant Store ID,Month,Week,Date,Day,Day part,Sales,Sales WoW Δ,Sales WoW %,Payouts,Payouts WoW Δ,Payouts WoW %,Mkt Spend,Mkt Spend WoW Δ,Mkt Spend WoW %,Customer Discounts,Customer Discounts WoW Δ,Customer Discounts WoW %,Orders,Orders WoW Δ,Orders WoW %,GC $0-15,GC $0-15 WoW Δ,GC $0-15 WoW %,GC $15-20,GC $15-20 WoW Δ,GC $15-20 WoW %,GC $20-25,GC $20-25 WoW Δ,GC $20-25 WoW %,GC $25-30,GC $25-30 WoW Δ,GC $25-30 WoW %,GC $30-$35,GC $30-$35 WoW Δ,GC $30-$35 WoW %,GC $35-$40,GC $35-$40 WoW Δ,GC $35-$40 WoW %,GC $40+,GC $40+ WoW Δ,GC $40+ WoW %,Profitability_%,Profitability_% WoW Δ,Profitability_% WoW %,AOV,AOV WoW Δ,AOV WoW %,Total Orders,Total Orders WoW Δ,Total Orders WoW %,Orders Inf by Promo,Orders Inf by Promo WoW Δ,Orders Inf by Promo WoW %,Orders inf by Ads,Orders inf by Ads WoW Δ,Orders inf by Ads WoW %,Orders inf by both,Orders inf by both WoW Δ,Orders inf by both WoW %,Organic Orders,Organic Orders WoW Δ,Organic Orders WoW %,reco_kill_ads,reco_lower_basket,reco_kill_campaign,reco_campaign_ok,target_gc_bucket,final_recommendation,recommendation_priority,Recommendation
mcd+bican@theondemandcompany.com,3206,2026-05,5/25-5/31,2026-05-29,Friday,Afternoon,31.9,-74.6,-70.0,27.4,-54.1,-66.4,0.0,2.0,100.0,0.0,9.3,100.0,2.0,-2.0,-50.0,1.0,1.0,,1.0,0.0,0.0,0.0,0.0,,0.0,-1.0,-100.0,0.0,-2.0,-100.0,0.0,0.0,,0.0,0.0,,85.9,9.3,12.1,15.9,-10.7,-40.2,2.0,-2.0,-50.0,0.0,0.0,,0.0,0.0,,0.0,-2.0,-100.0,2.0,0.0,0.0,N,Y,N,Y,GC $20-25,Adjust promo,Low,"Adjust promo to lower basket size; Continue, campaign working fine"
mcd+bican@theondemandcompany.com,3206,2026-05,5/25-5/31,2026-05-29,Friday,Breakfast,209.6,-263.4,-55.7,206.2,-144.0,-41.1,0.0,7.9,100.0,-30.6,20.5,40.1,16.0,-10.0,-38.5,10.0,-1.0,-9.1,2.0,-3.0,-60.0,4.0,-1.0,-20.0,1.0,-5.0,-83.3,0.0,-1.0,-100.0,0.0,0.0,,0.0,0.0,,98.4,24.4,33.0,13.1,-5.1,-28.0,16.0,-10.0,-38.5,6.0,3.0,100.0,0.0,0.0,,0.0,-8.0,-100.0,10.0,-5.0,-33.3,N,Y,Y,N,GC $15-20,Kill,Medium,Adjust promo to lower basket size; Kill campaign (target bucket GC $15-20 WoW Δ < 0)
mcd+bican@theondemandcompany.com,3206,2026-05,5/25-5/31,2026-05-29,Friday,Dinner,160.7,-60.2,-27.3,122.4,-47.0,-27.7,-2.0,1.0,33.3,-17.2,4.0,18.9,8.0,-2.0,-20.0,3.0,-1.0,-25.0,1.0,-1.0,-50.0,2.0,1.0,100.0,0.0,0.0,,2.0,2.0,,0.0,-3.0,-100.0,0.0,0.0,,76.1,-0.6,-0.8,20.1,-2.0,-9.0,8.0,-2.0,-20.0,2.0,1.0,100.0,0.0,0.0,,2.0,-1.0,-33.3,4.0,-2.0,-33.3,N,Y,N,Y,GC $25-30,Adjust promo,Low,"Adjust promo to lower basket size; Continue, campaign working fine"
mcd+bican@theondemandcompany.com,3206,2026-05,5/25-5/31,2026-05-29,Friday,Early morning,130.5,101.5,350.0,100.9,44.2,78.0,-2.0,-2.0,,-17.7,-13.7,-342.5,8.0,1.0,14.3,3.0,-3.0,-50.0,4.0,4.0,,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,77.3,-118.0,-60.4,16.3,12.2,297.6,8.0,1.0,14.3,2.0,1.0,100.0,0.0,0.0,,2.0,2.0,,4.0,-2.0,-33.3,N,N,N,Y,GC $20-25,Continue,Info,"Continue, campaign working fine"
mcd+bican@theondemandcompany.com,3206,2026-05,5/25-5/31,2026-05-29,Friday,Late night,348.0,72.6,26.4,264.4,46.7,21.5,-4.9,-0.9,-22.5,-36.3,-12.3,-51.2,16.0,1.0,6.7,6.0,2.0,50.0,1.0,-5.0,-83.3,3.0,1.0,50.0,1.0,-1.0,-50.0,5.0,4.0,400.0,0.0,0.0,,0.0,0.0,,76.0,-3.1,-3.9,21.8,3.4,18.5,16.0,1.0,6.7,3.0,3.0,,0.0,0.0,,5.0,1.0,25.0,8.0,-3.0,-27.3,Y,N,Y,N,GC $25-30,High priority: kill ads and kill campaign,High,Kill Ads; Kill campaign (target bucket GC $25-30 WoW Δ < 0)
mcd+bican@theondemandcompany.com,3206,2026-05,5/25-5/31,2026-05-29,Friday,Lunch,209.1,6.1,3.0,157.2,-2.5,-1.6,-4.0,-2.0,-100.0,-22.0,-13.5,-158.8,8.0,-5.0,-38.5,3.0,-6.0,-66.7,0.0,-3.0,-100.0,1.0,1.0,,1.0,0.0,0.0,0.0,-1.0,-100.0,2.0,2.0,,1.0,1.0,,75.2,-3.5,-4.4,26.1,10.5,67.3,8.0,-5.0,-38.5,0.0,0.0,,0.0,0.0,,4.0,2.0,100.0,4.0,-7.0,-63.6,Y,N,N,N,GC $30-35,Kill,Medium,Kill Ads
mcd+bican@theondemandcompany.com,3206,2026-05,5/25-5/31,2026-05-25,Monday,Afternoon,13.2,-46.5,-77.9,11.4,-34.7,-75.3,0.0,1.0,100.0,0.0,5.2,100.0,1.0,-3.0,-75.0,1.0,-1.0,-50.0,0.0,-1.0,-100.0,0.0,0.0,,0.0,0.0,,0.0,-1.0,-100.0,0.0,0.0,,0.0,0.0,,85.9,8.7,11.3,13.2,-1.7,-11.4,1.0,-3.0,-75.0,0.0,0.0,,0.0,0.0,,0.0,-1.0,-100.0,1.0,-2.0,-66.7,N,Y,Y,N,GC $15-20,Kill,Medium,Adjust promo to lower basket size; Kill campaign (target bucket GC $15-20 WoW Δ < 0)
mcd+bican@theondemandcompany.com,3206,2026-05,5/25-5/31,2026-05-25,Monday,Breakfast,391.9,275.9,237.8,359.8,264.9,279.1,-4.0,-3.0,-300.0,-32.4,-27.7,-589.4,21.0,14.0,200.0,7.0,4.0,133.3,6.0,3.0,100.0,2.0,2.0,,4.0,4.0,,1.0,0.0,0.0,0.0,0.0,,1.0,1.0,,91.8,10.1,12.4,18.7,2.1,12.7,21.0,14.0,200.0,3.0,3.0,,0.0,0.0,,4.0,3.0,300.0,14.0,8.0,133.3,Y,N,N,Y,GC $20-25,Kill,Medium,"Kill Ads; Continue, campaign working fine"
mcd+bican@theondemandcompany.com,3206,2026-05,5/25-5/31,2026-05-25,Monday,Dinner,113.0,-53.1,-32.0,91.9,-39.2,-29.9,-1.0,0.0,0.0,-5.0,8.4,62.7,6.0,-3.0,-33.3,2.0,-2.0,-50.0,1.0,-1.0,-50.0,1.0,0.0,0.0,2.0,1.0,100.0,0.0,0.0,,0.0,-1.0,-100.0,0.0,0.0,,81.3,2.4,3.0,18.8,0.3,1.6,6.0,-3.0,-33.3,0.0,-2.0,-100.0,0.0,0.0,,1.0,0.0,0.0,5.0,-1.0,-16.7,N,N,N,Y,GC $20-25,Continue,Info,"Continue, campaign working fine"
mcd+bican@theondemandcompany.com,3206,2026-05,5/18-5/24,2026-05-18,Monday,Early morning,0.0,0.0,,0.0,4.5,100.0,0.0,0.0,,0.0,0.0,,0.0,-1.0,-100.0,0.0,-2.0,-100.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,-1.0,-100.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,-1.0,-100.0,N,N,N,Y,GC $15-20,Continue,Info,"Continue, campaign working fine"
